 0.3807  9.5545
 1.6862  8.8360
 2.3029  8.1390
 2.8048  8.2244
 4.4933  7.7389
 5.5491  7.2419
 5.5736  7.6970
 6.6957  7.2731
 7.9198  7.1987
 9.2727  6.8862
 9.9997  6.8831
10.4448  6.9550
11.2244  6.3437
13.0641  6.1603
13.9811  6.0599
14.9433  5.8617
15.3800  6.1412
16.9575  5.4062
18.1377  5.5345
18.7520  5.3200
20.4901  4.8525
21.7224  4.6684
21.3065  5.0429
23.1104  4.9252
24.2465  4.5266
24.9568  4.3477
25.7007  4.4185
26.4954  4.1234
27.2890  4.0804
28.8716  4.3213
30.5652  3.9586
30.4059  4.1272
32.0645  4.0715
32.4995  3.5554
33.5747  3.5616
35.1757  3.2288
36.1220  3.8846
37.6432  3.2143
38.5994  3.3786
38.3405  3.2978
40.1216  2.9811
41.6902  3.0600
42.2853  3.1530
43.6343  2.9388
44.1472  2.5569
45.5329  2.8418
46.3329  2.3176
47.4010  2.6680
49.1992  2.5395
48.3113  2.3072
50.1498  2.0925
51.1026  2.3657
52.1314  2.2806
52.5819  2.3291
54.5399  2.3989
55.3481  2.0336
55.7667  2.1771
56.8677  2.1110
58.5427  2.1995
58.3460  1.8781
60.1984  1.9310
60.3815  1.9827
62.3816  2.0610
63.3413  1.5506
63.5407  2.0883
64.9442  1.6423
65.8657  1.9142
67.0172  2.0082
68.7696  1.3171
68.9872  1.8021
69.8492  1.4065
70.9829  1.3463
72.0260  1.6102
72.7583  1.6461
73.8521  1.3322
74.3891  1.5697
76.0526  1.2042
76.9131  1.4873
78.4389  1.1824
79.2977  1.1972
80.0691  1.3628
80.9511  1.5122
82.4176  1.4658
82.7160  1.2344
83.2943  1.3193
85.4372  0.9171
86.3237  0.9785
86.8035  0.7623
88.3388  0.8773
88.8350  1.1860
89.5525  0.7694
90.7175  1.2445
93.0695  1.1138
93.1088  0.5814
94.1398  0.7210
94.8933  1.2049
96.0723  0.7540
96.7356  1.0094
98.6657  0.9994
97.9193  0.8242
99.9290  0.8377
